dia;formato;mes;dia_semana;du;sab;dom;ferias;tipo_dia;feriado;ptes;eventos
20150409;09/04/2015;4;5;1;0;0;0;normal;0;0;0
20150410;10/04/2015;4;6;1;0;0;0;normal;0;0;0
20150411;11/04/2015;4;7;0;1;0;0;normal;0;0;0
20150412;12/04/2015;4;1;0;0;1;0;normal;0;0;0
20150413;13/04/2015;4;2;1;0;0;0;normal;0;0;0
20150414;14/04/2015;4;3;1;0;0;0;normal;0;0;0
20150415;15/04/2015;4;4;1;0;0;0;normal;0;0;0
20150416;16/04/2015;4;5;1;0;0;0;normal;0;0;0
20150417;17/04/2015;4;6;1;0;0;0;normal;0;0;0
20150418;18/04/2015;4;7;0;1;0;0;normal;0;0;0
20150419;19/04/2015;4;1;0;0;1;0;normal;0;0;0
20150420;20/04/2015;4;2;1;0;0;0;ponte;0;1;0
20150421;21/04/2015;4;3;1;0;0;0;feriado;1;0;0
20150422;22/04/2015;4;4;1;0;0;0;normal;0;0;0
20150423;23/04/2015;4;5;1;0;0;0;normal;0;0;0
20150424;24/04/2015;4;6;1;0;0;0;normal;0;0;0
20150425;25/04/2015;4;7;0;1;0;0;normal;0;0;0
20150426;26/04/2015;4;1;0;0;1;0;normal;0;0;0
20150427;27/04/2015;4;2;1;0;0;0;normal;0;0;0
20150428;28/04/2015;4;3;1;0;0;0;normal;0;0;0
20150429;29/04/2015;4;4;1;0;0;0;normal;0;0;0
20150430;30/04/2015;4;5;1;0;0;0;normal;0;0;0
20150501;01/05/2015;5;6;1;0;0;0;feriado;1;0;0
20150502;02/05/2015;5;7;0;1;0;0;normal;0;0;0
20150503;03/05/2015;5;1;0;0;1;0;normal;0;0;0
20150504;04/05/2015;5;2;1;0;0;0;normal;0;0;0
20150505;05/05/2015;5;3;1;0;0;0;normal;0;0;0
20150506;06/05/2015;5;4;1;0;0;0;normal;0;0;0
20150507;07/05/2015;5;5;1;0;0;0;normal;0;0;0
20150508;08/05/2015;5;6;1;0;0;0;normal;0;0;0
20150509;09/05/2015;5;7;0;1;0;0;normal;0;0;0
20150510;10/05/2015;5;1;0;0;1;0;normal;0;0;0
20150511;11/05/2015;5;2;1;0;0;0;normal;0;0;0
20150512;12/05/2015;5;3;1;0;0;0;normal;0;0;0
20150513;13/05/2015;5;4;1;0;0;0;normal;0;0;0
20150514;14/05/2015;5;5;1;0;0;0;normal;0;0;0
20150515;15/05/2015;5;6;1;0;0;0;normal;0;0;0
20150516;16/05/2015;5;7;0;1;0;0;normal;0;0;0
20150517;17/05/2015;5;1;0;0;1;0;normal;0;0;0
20150518;18/05/2015;5;2;1;0;0;0;normal;0;0;0
20150519;19/05/2015;5;3;1;0;0;0;normal;0;0;0
20150520;20/05/2015;5;4;1;0;0;0;normal;0;0;0
20150521;21/05/2015;5;5;1;0;0;0;normal;0;0;0
20150522;22/05/2015;5;6;1;0;0;0;normal;0;0;0
20150523;23/05/2015;5;7;0;1;0;0;normal;0;0;0
20150524;24/05/2015;5;1;0;0;1;0;normal;0;0;0
20150525;25/05/2015;5;2;1;0;0;0;normal;0;0;0
20150526;26/05/2015;5;3;1;0;0;0;normal;0;0;0
20150527;27/05/2015;5;4;1;0;0;0;normal;0;0;0
20150528;28/05/2015;5;5;1;0;0;0;normal;0;0;0
20150529;29/05/2015;5;6;1;0;0;0;normal;0;0;0
20150530;30/05/2015;5;7;0;1;0;0;normal;0;0;0
20150531;31/05/2015;5;1;0;0;1;0;normal;0;0;0
20150601;01/06/2015;6;2;1;0;0;0;normal;0;0;0
20150602;02/06/2015;6;3;1;0;0;0;normal;0;0;0
20150603;03/06/2015;6;4;1;0;0;0;normal;0;0;0
20150604;04/06/2015;6;5;1;0;0;0;feriado;1;0;0
20150605;05/06/2015;6;6;1;0;0;0;ponte;0;1;0
20150606;06/06/2015;6;7;0;1;0;0;normal;0;0;0
20150607;07/06/2015;6;1;0;0;1;0;normal;0;0;0
20150608;08/06/2015;6;2;1;0;0;0;normal;0;0;0
20150609;09/06/2015;6;3;1;0;0;0;normal;0;0;0
20150610;10/06/2015;6;4;1;0;0;0;normal;0;0;0
20150611;11/06/2015;6;5;1;0;0;0;normal;0;0;0
20150612;12/06/2015;6;6;1;0;0;0;normal;0;0;0
20150613;13/06/2015;6;7;0;1;0;0;normal;0;0;0
20150614;14/06/2015;6;1;0;0;1;0;normal;0;0;0
20150615;15/06/2015;6;2;1;0;0;0;normal;0;0;0
20150616;16/06/2015;6;3;1;0;0;0;normal;0;0;0
20150617;17/06/2015;6;4;1;0;0;0;normal;0;0;0
20150618;18/06/2015;6;5;1;0;0;0;normal;0;0;0
20150619;19/06/2015;6;6;1;0;0;0;normal;0;0;0
20150620;20/06/2015;6;7;0;1;0;0;normal;0;0;0
20150621;21/06/2015;6;1;0;0;1;0;normal;0;0;0
20150622;22/06/2015;6;2;1;0;0;0;normal;0;0;0
20150623;23/06/2015;6;3;1;0;0;0;normal;0;0;0
20150624;24/06/2015;6;4;1;0;0;0;normal;0;0;0
20150625;25/06/2015;6;5;1;0;0;0;normal;0;0;0
20150626;26/06/2015;6;6;1;0;0;0;normal;0;0;0
20150627;27/06/2015;6;7;0;1;0;0;normal;0;0;0
20150628;28/06/2015;6;1;0;0;1;0;normal;0;0;0
20150629;29/06/2015;6;2;1;0;0;0;normal;0;0;0
20150630;30/06/2015;6;3;1;0;0;0;normal;0;0;0
20150701;01/07/2015;7;4;1;0;0;1;normal;0;0;0
20150702;02/07/2015;7;5;1;0;0;1;normal;0;0;0
20150703;03/07/2015;7;6;1;0;0;1;normal;0;0;0
20150704;04/07/2015;7;7;0;1;0;1;normal;0;0;0
20150705;05/07/2015;7;1;0;0;1;1;normal;0;0;0
20150706;06/07/2015;7;2;1;0;0;1;normal;0;0;0
20150707;07/07/2015;7;3;1;0;0;1;normal;0;0;0
20150708;08/07/2015;7;4;1;0;0;1;normal;0;0;0
20150709;09/07/2015;7;5;1;0;0;1;feriado;1;0;0
20150710;10/07/2015;7;6;1;0;0;1;ponte;0;1;0
20150711;11/07/2015;7;7;0;1;0;1;normal;0;0;0
20150712;12/07/2015;7;1;0;0;1;1;normal;0;0;0
20150713;13/07/2015;7;2;1;0;0;1;normal;0;0;0
20150714;14/07/2015;7;3;1;0;0;1;normal;0;0;0
20150715;15/07/2015;7;4;1;0;0;1;normal;0;0;0
20150716;16/07/2015;7;5;1;0;0;1;normal;0;0;0
20150717;17/07/2015;7;6;1;0;0;1;normal;0;0;0
20150718;18/07/2015;7;7;0;1;0;1;normal;0;0;0
20150719;19/07/2015;7;1;0;0;1;1;normal;0;0;0
20150720;20/07/2015;7;2;1;0;0;1;normal;0;0;0
20150721;21/07/2015;7;3;1;0;0;1;normal;0;0;0
20150722;22/07/2015;7;4;1;0;0;1;normal;0;0;0
20150723;23/07/2015;7;5;1;0;0;1;normal;0;0;0
20150724;24/07/2015;7;6;1;0;0;1;normal;0;0;0
20150725;25/07/2015;7;7;0;1;0;1;normal;0;0;0
20150726;26/07/2015;7;1;0;0;1;1;normal;0;0;0
20150727;27/07/2015;7;2;1;0;0;1;normal;0;0;0
20150728;28/07/2015;7;3;1;0;0;1;normal;0;0;0
20150729;29/07/2015;7;4;1;0;0;1;normal;0;0;0
20150730;30/07/2015;7;5;1;0;0;1;normal;0;0;0
20150731;31/07/2015;7;6;1;0;0;1;normal;0;0;0
20150801;01/08/2015;8;7;0;1;0;0;normal;0;0;0
20150802;02/08/2015;8;1;0;0;1;0;normal;0;0;0
20150803;03/08/2015;8;2;1;0;0;0;normal;0;0;0
20150804;04/08/2015;8;3;1;0;0;0;normal;0;0;0
20150805;05/08/2015;8;4;1;0;0;0;normal;0;0;0
20150806;06/08/2015;8;5;1;0;0;0;normal;0;0;0
20150807;07/08/2015;8;6;1;0;0;0;normal;0;0;0
20150808;08/08/2015;8;7;0;1;0;0;normal;0;0;0
20150809;09/08/2015;8;1;0;0;1;0;normal;0;0;0
20150810;10/08/2015;8;2;1;0;0;0;normal;0;0;0
20150811;11/08/2015;8;3;1;0;0;0;normal;0;0;0
20150812;12/08/2015;8;4;1;0;0;0;normal;0;0;0
20150813;13/08/2015;8;5;1;0;0;0;normal;0;0;0
20150814;14/08/2015;8;6;1;0;0;0;normal;0;0;0
20150815;15/08/2015;8;7;0;1;0;0;normal;0;0;0
20150816;16/08/2015;8;1;0;0;1;0;normal;0;0;0
20150817;17/08/2015;8;2;1;0;0;0;normal;0;0;0
20150818;18/08/2015;8;3;1;0;0;0;normal;0;0;0
20150819;19/08/2015;8;4;1;0;0;0;normal;0;0;0
20150820;20/08/2015;8;5;1;0;0;0;normal;0;0;0
20150821;21/08/2015;8;6;1;0;0;0;normal;0;0;0
20150822;22/08/2015;8;7;0;1;0;0;normal;0;0;0
20150823;23/08/2015;8;1;0;0;1;0;normal;0;0;0
20150824;24/08/2015;8;2;1;0;0;0;normal;0;0;0
20150825;25/08/2015;8;3;1;0;0;0;normal;0;0;0
20150826;26/08/2015;8;4;1;0;0;0;normal;0;0;0
20150827;27/08/2015;8;5;1;0;0;0;normal;0;0;0
20150828;28/08/2015;8;6;1;0;0;0;normal;0;0;0
20150829;29/08/2015;8;7;0;1;0;0;normal;0;0;0
20150830;30/08/2015;8;1;0;0;1;0;normal;0;0;0
20150831;31/08/2015;8;2;1;0;0;0;normal;0;0;0
20150901;01/09/2015;9;3;1;0;0;0;normal;0;0;0
20150902;02/09/2015;9;4;1;0;0;0;normal;0;0;0
20150903;03/09/2015;9;5;1;0;0;0;normal;0;0;0
20150904;04/09/2015;9;6;1;0;0;0;normal;0;0;0
20150905;05/09/2015;9;7;0;1;0;0;normal;0;0;0
20150906;06/09/2015;9;1;0;0;1;0;normal;0;0;0
20150907;07/09/2015;9;2;1;0;0;0;feriado;1;0;0
20150908;08/09/2015;9;3;1;0;0;0;normal;0;0;0
20150909;09/09/2015;9;4;1;0;0;0;normal;0;0;0
20150910;10/09/2015;9;5;1;0;0;0;normal;0;0;0
20150911;11/09/2015;9;6;1;0;0;0;normal;0;0;0
20150912;12/09/2015;9;7;0;1;0;0;normal;0;0;0
20150913;13/09/2015;9;1;0;0;1;0;normal;0;0;0
20150914;14/09/2015;9;2;1;0;0;0;normal;0;0;0
20150915;15/09/2015;9;3;1;0;0;0;normal;0;0;0
20150916;16/09/2015;9;4;1;0;0;0;normal;0;0;0
20150917;17/09/2015;9;5;1;0;0;0;normal;0;0;0
20150918;18/09/2015;9;6;1;0;0;0;normal;0;0;0
20150919;19/09/2015;9;7;0;1;0;0;normal;0;0;0
20150920;20/09/2015;9;1;0;0;1;0;normal;0;0;0
20150921;21/09/2015;9;2;1;0;0;0;normal;0;0;0
20150922;22/09/2015;9;3;1;0;0;0;normal;0;0;0
20150923;23/09/2015;9;4;1;0;0;0;normal;0;0;0
